word,frequency,is_finance,sentiment_score,is_phrase,notes
立董事候,15,N,,,
宁波,15,N,,,
东土科技,15,N,,,
东土科,15,N,,,
土科技,15,N,,,
东土,15,N,,,
土科,15,N,,,
十九次会,15,N,,,
十九次,15,N,,,
十九,15,N,,,
集中竞价,15,N,,,
集中竞,15,N,,,
中竞价,15,N,,,
中竞,15,N,,,
竞价,15,N,,,
河南豫光,15,N,,,
南豫光金,15,N,,,
豫光金铅,15,N,,,
河南豫,15,N,,,
南豫光,15,N,,,
豫光金,15,N,,,
光金铅,15,N,,,
河南,15,N,,,
南豫,15,N,,,
豫光,15,N,,,
光金,15,N,,,
金铅,15,N,,,
股东部分,14,Y,,,
东部分股,14,Y,,,
股东部,14,N,,,
东部分,14,Y,,,
东部,14,N,,,
楚江新材,14,Y,,,
楚江新,14,Y,,,
江新材,14,Y,,,
楚江,14,N,,,
药业股份,14,N,,,
上市保荐,14,N,,,
市保荐书,14,N,,,
上市保,14,N,,,
市保荐,14,N,,,
市保,14,N,,,
临时提案,14,N,,,
临时提,14,N,,,
时提案,14,Y,,,
时提,14,N,,,
提案,14,Y,,,
延期回复,14,Y,,,
延期回,14,Y,,,
期回复,14,Y,,,
关于收,14,Y,,,
于收,14,Y,,,
特殊普通,14,N,,,
殊普通合,14,N,,,
普通合伙,14,N,,,
软件股份,14,N,,,
件股份有,14,N,,,
特殊普,14,N,,,
殊普通,14,N,,,
普通合,14,N,,,
通合伙,14,N,,,
软件股,14,N,,,
件股份,14,N,,,
华宇,14,N,,,
特殊,14,N,,,
殊普,14,N,,,
通合,14,N,,,
公司投资,14,N,,,
公司投,14,N,,,
司投资,14,N,,,
司投,14,N,,,
顾问,14,N,,,
十二次,14,N,,,
十二,14,N,,,
票并在北,14,Y,,,
并在北,14,Y,,,
会关于公,14,N,,,
于董事会,14,N,,,
电股份,14,N,,,
电股,14,N,,,
励计划预,14,N,,,
计划预留,14,N,,,
解除限售,14,N,,,
股份上市,14,N,,,
计划预,14,N,,,
划预留,14,N,,,
解除限,14,N,,,
除限售,14,N,,,
股份上,14,N,,,
份上市,14,N,,,
划预,14,N,,,
除限,14,N,,,
份上,14,N,,,
委员会,14,N,,,
员会,14,N,,,
选举,14,N,,,
六次会议,14,N,,,
六次会,14,N,,,
关于股东,14,N,,,
于股东,14,N,,,
计划的,14,N,,,
东减持股,14,Y,,,
协议,14,Y,,,
授予激励,14,N,,,
予激励对,14,N,,,
授予激,14,N,,,
予激励,14,N,,,
予激,14,N,,,
公示,14,Y,,,
中国证,14,N,,,
国证,14,N,,,
天铁,14,N,,,
限公司独,14,N,,,
工作报告,14,N,,,
工作报,14,N,,,
作报告,14,Y,,,
作报,14,N,,,
公司提,14,N,,,
司提,14,N,,,
能源股份,14,N,,,
新能源,14,Y,,,
能源股,14,N,,,
源股份,14,N,,,
源股,14,N,,,
三次会议,14,N,,,
三次会,14,N,,,
限公司股,14,N,,,
上海证券,14,N,,,
海证券交,14,N,,,
上海证,14,N,,,
东北,14,N,,,
第九届,14,N,,,
九届,14,N,,,
会会议材,14,N,,,
会议材料,14,N,,,
会议材,14,N,,,
议材料,14,N,,,
议材,14,N,,,
事会第一,14,N,,,
会第一,14,N,,,
中国东方,14,N,,,
国东方航,14,N,,,
东方航空,14,N,,,
中国东,14,N,,,
国东方,14,N,,,
东方航,14,N,,,
方航空,14,N,,,
国东,14,N,,,
方航,14,N,,,
一届,14,N,,,
英集芯,14,N,,,
英集,14,N,,,
集芯,14,N,,,
光金铅股,14,N,,,
金铅股份,14,N,,,
铅股份有,14,N,,,
金铅股,14,N,,,
铅股份,14,N,,,
铅股,14,N,,,
回购公司,13,Y,,,
回购公,13,Y,,,
次临时会,13,N,,,
临时会议,13,N,,,
临时会,13,N,,,
时会议,13,N,,,
五次,13,N,,,
时会,13,N,,,
关于广,13,N,,,
于广,13,N,,,
财务报表,13,N,,,
务报表,13,N,,,
行保荐书,13,N,,,
调研活动,13,N,,,
调研活,13,N,,,
研活动,13,N,,,
研活,13,N,,,
暨股,13,N,,,
关于收到,13,N,,,
于收到,13,N,,,
华宇软件,13,N,,,
度报告的,13,N,,,
华宇软,13,N,,,
宇软件,13,N,,,
宇软,13,N,,,
评估,13,N,,,
司投资者,13,N,,,
