symbol,strategy_id,strategy_name,total_return,annual_return,max_drawdown,sharpe_ratio,num_trades,win_rate,final_value,trading_days
000333.SZ,kdj_strategy,KDJ随机指标策略,0.0,0.0,0.0,0.0,0,0.0,1000000.0,545
300750.SZ,kdj_strategy,KDJ随机指标策略,0.0038189226303447506,0.0017499923229196135,0.0658092107405836,-0.3767222731260033,1,0.0,1003818.9226303448,545
600036.SH,kdj_strategy,KDJ随机指标策略,0.0,0.0,0.0,0.0,0,0.0,1000000.0,545
600519.SH,kdj_strategy,KDJ随机指标策略,-0.007054522970207618,-0.0032422205804238935,0.03666614798695977,-0.8921472607626355,1,0.0,992945.4770297924,545
000333.SZ,ma_crossover,双均线交叉策略,-0.03509803890475794,-0.016255772861841433,0.08155386963599973,-0.8438617030556685,2,0.0,964901.9610952421,545
300750.SZ,ma_crossover,双均线交叉策略,-0.04829010378677165,-0.02244833891308451,0.08289637754351395,-1.2922803604976434,2,0.0,951709.8962132283,545
600036.SH,ma_crossover,双均线交叉策略,6.163985091994983e-05,2.827468929145205e-05,0.07051064311862633,-0.3201146883512591,1,0.0,1000061.63985092,545
600519.SH,ma_crossover,双均线交叉策略,-0.01253664228209015,-0.005770392010753245,0.0713752667563375,-0.4375390194914339,1,0.0,987463.3577179099,545
000333.SZ,macd_strategy,MACD趋势策略,0.026019280846281908,0.0118525067976063,0.08327670615928097,-0.19656881923676733,1,0.0,1026019.2808462819,545
300750.SZ,macd_strategy,MACD趋势策略,-0.033727641574412,-0.015615120879436617,0.05775815291529558,-1.64536084686208,2,0.0,966272.358425588,545
600036.SH,macd_strategy,MACD趋势策略,-0.03248368401814997,-0.015034004383035815,0.03830714422843314,-2.87906001060376,2,0.0,967516.31598185,545
600519.SH,macd_strategy,MACD趋势策略,-0.04145429569725855,-0.019233741816846783,0.07885105380793615,-0.6306609357939479,3,0.0,958545.7043027414,545
000333.SZ,volume_price,量价关系策略,0.03167047145945113,0.014405202870841238,0.019762983498442306,-0.7994733490033816,34,0.5882352941176471,1031670.4714594511,545
300750.SZ,volume_price,量价关系策略,-0.006896450289571658,-0.0031694349167834535,0.05953734511368285,-0.725157008776974,46,0.4782608695652174,993103.5497104283,545
600036.SH,volume_price,量价关系策略,-0.03388659557287651,-0.015689405631440057,0.036634376473627814,-2.140083562094347,20,0.3,966113.4044271235,545
600519.SH,volume_price,量价关系策略,-0.009936083849885967,-0.004570156179380502,0.030982165066115425,-1.8612126414010546,24,0.5,990063.916150114,545
